name,ph_seq,ph_dur,ph_num,note_seq,note_dur,note_slur
CODEY_VoxPlus_1_00,SP d ang w uo m en b en x iang x ing h ai AP SP,0.14331 0.08254 0.19683 0.05351 0.28481 0.09159 0.30024 0.03167 0.15972 0.22222 0.43084 0.17596 0.53696 0.09318 1.56797 0.30801 0.10472,2 2 2 2 2 2 2 1 1 1,rest G4-48 F4-11 E4-12 C4+17 D5-45 C5-12 G4+1 G4+3 rest rest,0.226 0.250 0.376 0.332 0.382 0.607 0.387 0.243 1.568 0.308 0.105,0 0 0 0 0 0 0 1 0 0 0
CODEY_VoxPlus_1_01,SP h ui y iu y ing j ie d e j ian ch uan AP,0.08798 0.03538 0.29115 0.06703 0.23048 0.04263 0.28027 0.1261 0.23036 0.12427 0.59591 0.12427 0.54422 0.08344 1.94016 0.30635,2 2 2 2 2 2 2 1 1,rest G4-5 F4+10 E4-1 C4+47 D5+9 C5-5 C5-5 B4+1 B4+2 C5-11 G#4+9 G4+0 rest,0.123 0.358 0.273 0.406 0.355 0.404 0.316 0.334 0.293 0.747 0.230 0.190 0.774 0.306,0 0 0 0 0 0 1 0 1 0 1 1 1 0
CODEY_VoxPlus_1_02,t a m en d ou p uo b u j i d ai AP ch uan zh e x iao x iao d e AP y0 v zh ou y i l ai AP SP,0.10612 0.26758 0.06241 0.31854 0.02721 0.24762 0.15546 0.22277 0.11822 0.46681 0.16327 0.56871 0.04526 0.33297 0.34286 0.0907 0.31655 0.02358 0.21406 0.14422 0.21769 0.16326 0.26758 0.07343 0.38915 0.2458 0.05715 0.53968 0.132 0.29703 0.06899 0.32466 0.03174 0.35737 0.44626 0.12018,1 2 2 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 1 1,rest G4-34 F4-3 E4+10 C#4-43 D5-3 B4+9 B4-14 rest F#4+37 E4+49 D#4+41 C4+3 D4+4 rest E4+8 G4-12 C5-5 B4+7 rest rest,0.106 0.330 0.346 0.403 0.341 0.630 0.614 0.333 0.434 0.340 0.358 0.381 0.341 0.389 0.303 0.672 0.366 0.356 0.357 0.446 0.120,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CODEY_VoxPlus_1_03,SP n i d e h uo b an SP,0.12245 0.13424 0.26485 0.05714 0.47801 0.10967 0.66403 0.06258 1.7161 0.04066,2 2 2 2 1 1,rest B4-9 C5-12 B4-9 C5-11 rest,0.257 0.322 0.588 0.727 1.716 0.041,0 0 0 0 0 0
CODEY_VoxPlus_2_00,SP sh u zh e j ie p ai y i er s an s i0 y i b ian y i b ian q v l ian x i AP,0.29708 0.13713 0.26783 0.05079 0.19864 0.14876 0.29478 0.04963 0.21522 0.03663 0.26995 0.24399 0.1351 0.37465 0.13243 0.27846 0.03809 0.29479 0.06258 0.32018 0.01905 0.32653 0.03447 0.13605 0.09343 0.27206 0.03995 0.26032 0.17506 0.64404 0.55501,2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 1 1,rest B3-3 D#4+41 G#4+17 G4+9 G4+48 F#4-13 F#4-5 D#4+47 D#4-17 E4+2 F#4+14 F#4+1 F#4+2 D#4-10 G#4-8 rest,0.434 0.319 0.347 0.344 0.252 0.270 0.379 0.507 0.317 0.357 0.339 0.361 0.229 0.312 0.435 0.644 0.555,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CODEY_VoxPlus_2_01,b ei k ao zh e b ei ch ang y i sh ou x in x ve h ui d e g e q v AP SP,0.04717 0.28662 0.078 0.1288 0.0644 0.25034 0.08163 0.20953 0.09795 0.43901 0.03991 0.22494 0.10975 0.23583 0.11406 0.25419 0.08889 0.30023 0.04353 0.16055 0.0136 0.1796 0.17742 0.1609 0.2068 0.5161 0.34467 0.07599,1 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1,rest A4-6 G#4-3 G#4-11 F#4-12 F#4-9 E4-4 D#4+35 E4-10 F#4-7 F#4+2 F#4-6 A#4+36 G4+48 rest rest,0.047 0.365 0.193 0.332 0.307 0.479 0.335 0.350 0.343 0.344 0.174 0.357 0.368 0.516 0.345 0.076,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CODEY_VoxPlus_2_02,b u x iao x in b ei f en s an zh u y i AP w uo r eng n eng zh ui g an sh ang q v AP n a sh ir SP,0.01537 0.24858 0.07165 0.18957 0.07094 0.17668 0.03719 0.28662 0.08932 0.11748 0.08889 0.29025 0.04932 0.26995 0.06053 0.59163 0.39093 0.03719 0.30294 0.05624 0.29025 0.06431 0.15882 0.04898 0.27483 0.06168 0.12517 0.04424 0.15167 0.08093 0.75989 0.24399 0.04676 0.24803 0.14103 0.31157 0.63157,1 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1 1,rest G#4+6 A4+13 B4+17 B4+4 A4-33 A4-12 G#4+8 G#4-4 A4-12 rest D#4+50 A4-9 G#4+34 G#4+1 F#4+12 F#4+5 F#4+2 E4-18 rest E4-41 C#4-10 rest,0.015 0.320 0.261 0.214 0.376 0.206 0.340 0.330 0.168 0.424 0.428 0.359 0.355 0.208 0.337 0.169 0.233 0.158 0.602 0.291 0.389 0.312 0.632,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
CODEY_VoxPlus_2_03,z ai l ai h e w uo j iao h uan x iao y i AP SP,0.10975 0.30748 0.03818 0.1133 0.09342 0.43538 0.05747 0.11214 0.0907 0.31474 0.06262 0.14328 0.07211 0.15646 0.04709 1.3071 0.66486 0.17145,1 2 2 2 2 2 2 2 1 1 1,rest C#4+11 E4-33 A4-1 G#4+1 F4+38 E4+10 E4-2 D#4+13 E4+2 rest rest,0.110 0.346 0.207 0.493 0.203 0.182 0.195 0.215 0.204 1.307 0.665 0.171,0 0 0 0 0 0 1 0 0 0 0 0
CODEY_VoxPlus_2_04,SP j i d e AP g ei w uo z ui g ao f en b ei d e h ui y ing SP,0.24774 0.10147 0.2839 0.06349 0.32744 0.2839 0.07074 0.31384 0.03708 0.10713 0.10068 0.3093 0.03719 0.14513 0.06893 0.1678 0.0211 0.20112 0.1542 0.12789 0.09886 0.19229 0.03175 1.71519 0.19034,2 2 1 2 2 2 2 2 2 2 2 2 1 1,rest E4+3 C4+35 rest C#4+9 E4+37 A4-3 A4-5 G#4-13 F#4+1 E4+4 D#4+8 E4+4 rest,0.349 0.347 0.327 0.355 0.351 0.208 0.346 0.214 0.189 0.355 0.227 0.224 1.715 0.190,0 0 0 0 0 0 0 0 0 0 0 0 0 0
CODEY_VoxPlus_3_fix_00,SP w u r en d ai z ou AP sh u y ie b uo l uo d e sh ir j i SP,0.35737 0.01832 0.33361 0.05221 0.72511 0.05352 0.3356 0.10612 0.97662 0.75855 0.13966 0.34739 0.08436 0.26757 0.12426 0.30567 0.05684 0.33137 0.03447 1.01496 0.18594 0.27755 0.14604 0.59047 0.0639,2 2 2 2 1 2 2 2 2 2 2 2 1 1,rest A3+41 A4+4 F#4+3 E4+33 rest E4+13 E4+14 C#4+43 F4-37 D#4+38 E4+39 F#4+9 rest,0.376 0.386 0.779 0.442 0.977 0.898 0.432 0.392 0.363 0.366 1.201 0.424 0.590 0.064,0 0 0 0 0 0 0 0 0 0 0 0 0 0
